Chinese,Fitted
"咖喱","curry"
"卡丁车","go kart"
"盘球","Dribbling"
"扫描","scanning"
"眼贴","Eye patch"
"青苹果","green apple"
"蔬菜沙拉","vegetable salad"
"简历","CV"
"贵宾","VIP"
"打开了的","opened"
"头球","header"
"巨人","giant"
"年度","year"
"涅槃","Nirvana"
"档案","file"
"锉刀","file"
"韩式","Korean"
"韩语","Korean"
"韩文","Korean"
"市政厅","town Hall"
"宾客","guests"
"积木","Building Blocks"
"冰壶运动","Curling"
"初学者","beginner"
"百叶窗","blinds"
"联合国教科文组织","UNESCO"
"冬季运动","winter sports"
"粉底","Foundation"
"地基","foundation"
"柿子","persimmon"
"吉普赛人","Gypsy"
"蒲公英种子","dandelion seeds"
"在上面","on top"
"羽扇豆","lupine"
"乌鸦","crow"
"家庭花园","home garden"
"自己动手","Do it yourself"
"细的","Fine"
"对角线","diagonal"
"网上支付","online payment"
"格子","lattice"
"人工智能","AI"
"飞机库","hangar"
"机库","hangar"
"着陆","landing"
"楼梯平台","landing"
"十二生肖","zodiac signs"
"飞盘","Frisbee"
"碳水化合物","carbohydrate"
"赞颂","praise"
"戳","stamp"
"邮票","stamp"
"公鸭","drake"
"痣","mole"
"银莲花","anemone"
"呼啦圈","Hula Hoop"
"柔和色","pastel color"
"80年代风格","80s style"
"猎鹰","falcon"
"插座","socket"
"登山杖","trekking poles"
"面糊","batter"
"居家装饰","home decoration"
"层次","level"
"骨折","fracture"
"漂流","drifting"
"传统舞","traditional dance"
"解决","solve"
"响亮的","loud"
"基质","matrix"
"红鞋","red shoes"
"住宅内部","house interior"
"航展","air show"
"穆斯林妇女","muslim women"
"瑜珈教师","yoga teacher"
"活页夹","binder"
"装订夹","Binder"
"收获","reward"
"消防车","fire truck"
"脸谱","Facebook"
"沙滩椅","beach chair"
"上锁","Locked"
"啦啦队","Cheerleading"
"羽毛球","badminton"
"羽毛球运动","Badminton"
"对虾","prawns"
"鹰嘴豆","chickpeas"
"木雕","wood carving"
"珠宝商","jeweler"
"牙套","Braces"
"牙齿矫正器","braces"
"工作服","work clothes"
"投资","invest"
"月经杯","menstrual cup"
"明虾","prawn"
"光晕","halo"
"环保袋","Eco Bag"
"碎屑","Debris"
"甜点台","dessert table"
"过山车","roller coaster"
"首发","starter"
"发令员","starter"
"水道","waterway"
"保护服","protective clothing"
"连指手套","Mittens"
"婴儿鞋","baby shoes"
"红杉","Sequoia"
"雪山","snow mountain"
"彗星","comet"
"婴儿服装","baby clothes"
"少儿多动症","ADHD"
"参与者","participants"
"钝的","blunt"
"格栅","grille"
"撅嘴","Pouting"
"约会之夜","date night"
"飓风","hurricane"
"口腔卫生","oral hygiene"
"计量器","meter"
"拼写","spell"
"咒语","spell"
"阵亡将士纪念日","memorial day"
"门把手","door handle"
"阿拉比卡咖啡","arabica coffee"
"医用大麻","medical marijuana"
"售货员","salesperson"
"滑雪杖","Ski poles"
"古巴人","cuban"
"剥落","Peel off"
"舞会礼服","ball gown"
"辣玉米片","Nachos"
"墨西哥玉米片","nachos"
"市区路","City Road"
"井","well"
"水仙花","narcissus"
"状态","state"
"州","state"
"人体","human body"
"逗留","stay"
"换衣间","Changing room"
"毛绒玩具","stuffed toys"
"贴花","applique"
"软糖","gummies"
"油菜","rape"
"动力设备","Power plant"
"霹雳舞","Break dance"
"蟒蛇","python"
"可丽饼","Crepe"
"红苹果","red apple"
"硬朗","Tough"
"钻井","drilling"
"交通标志","Traffic signs"
"美洲驼羊","llama"
"大羊驼","Llama"
"环境保护","environmental protection"
"再见","goodbye"
"V Sign","V Sign"
"使用","use"
"公民权利","civil rights"
"讲师","lecturer"
"拔罐","Cupping"
"硫磺","sulfur"
"绿灯","green light"
"枪手","shooter"
"巧克力脆片","chocolate chips"
"巧克力片","chocolate chips"
"协助","assist"
"开放空间","open space"
"链环","chain link"
"埃及人","Egyptian"
"城市生活","urban life"
"简单背景","simple background"
"幻想性错觉","hallucination"
"进退维谷","Dilemma"
"少数民族","minority"
"殖民地式","colonial"
"美式咖啡","Americano"
"吓坏了","frightened"
"售票员","conductor"
"跳马","Vault"
"运动裤","Sweatpants"
"金链","Gold chain"
"奖","prize"
"裸色","Nude color"
"维纳斯","Venus"
"金星","Venus"
"拒绝","reject"
"黄灯","yellow light"
"狗仔队","paparazzi"
"十字针脚","cross stitch"
"车座","car seat"
"吹泡泡","blowing bubbles"
"行为","Behavior"
"风险投资","venture capital"
"大峡谷","Grand Canyon"
"万维网","world wide web"
"机动船","motor boat"
"卷发","curls"
"脚蹼","flippers"
"充电器","charger"
"重复","repeat"
"绿色和平组织","greenpeace"
"特殊需要","special needs"
"傲慢","arrogant"
"超自然","supernatural"
"簇叶从生的","leafy"
"货盘","Pallet"
"黑洞","black hole"
"蜂窝","honeycomb"
"蜂窝状","honeycomb"
"彩弹射击","paintball"
"人字拖","flip flops"
"豆荚","pod"
"大爆炸理论","big bang theory"
"守门员","goalkeeper"
"酸黄瓜","Pickles"
"手搭在肩膀上","hands on shoulders"
"防火梯","fire escape"
"老爷车","classic cars"
"滑雪面具","ski mask"
"轮胎印","tire tracks"
"锦鲤","Koi"
"无塑料","No plastic"
"服务器","server"
"四分卫","quarterback"
"水牛","buffalo"
"Whatsapp","Whatsapp"
"锚","anchor"
"薄脆饼干","Crackers"
"龙虾","lobster"
"洁面乳","cleanser"
"脂肪","Fat"
"电力火车","electric train"
"电气火车","electric train"
"居家学习","home study"
"葡萄牙语","Portuguese"
"抽屉柜","chest of drawers"
"熊猫","panda"
"乳酪板","cheese board"
"前锋","forward"
"青春期","puberty"
"倾盆大雨","downpour"
"玉器","Jade"
"血糖","blood sugar"
"白涂料","white paint"
"乳胶","emulsion"
"小团体","small group"
"槌棒","mallet"
"槌子","mallet"
"仓库","storehouse"
"牛肝菌","Boletus"
"输电塔","transmission tower"
"垫圈","washer"
"夏威夷人","Hawaiian"
"剑客","swordsman"
"感恩节","Thanksgiving Day"
"养蜂","beekeeping"
"挑染","Highlights"
"装潢工人","decorator"
"柳树","willow"
"购物中心","shopping center"
"付费电话","payphone"
"乘务员","flight attendant"
"花生","peanut"
"汽车视镜","car mirror"
"剃须刀","shaver"
"开胃品","Appetizers"
"开胃食品","Appetizers"
"旱冰","Rollerblading"
"奇亚籽","chia seeds"
"稻草人","scarecrow"
"多重任务","multitasking"
"长柄煎锅","Skillet"
"藏族","Tibetan"
"细高跟鞋","stilettos"
"骗局","scam"
"火柴","matches"
"费用","cost"
"电子行业","it"
"结尾","end"
"烧毁的","burned"
"比例","Proportion"
"枪支","firearms"
"考古学","archeology"
"黄色衣服","yellow clothes"
"张开手臂","open arms"
"Sun Lounger","Sun Lounger"
"鬃","bristle"
"遛狗","walking the dog"
"垃圾筒","trash can"
"垃圾箱","trash can"
"胡萝卜蛋糕","carrot cake"
"牧马人","wrangler"
"水生植物","aquatic plants"
"躺","lie"
"厨师帽","Chef Hat"
"小费","tip"
"乌克兰人","Ukrainian"
"工业机械","industrial machinery"
"细香葱","chives"
"锥形烧瓶","Erlenmeyer flask"
"自动化","automation"
"护身符","amulet"
"是","yes"
"上瘾","addictive"
"茶蜡","tealight"
"天南星科","Araceae"
"灯芯绒","corduroy"
"喷气机","Jets"
"双层巴士","double decker bus"
"身体绘画","body painting"
"银色背景","silver background"
"女生之夜","girls night"
"拔河","tug of war"
"高低床","Bunk bed"
"墨西哥餐厅","Mexican restaurant"
"毫米","mm"
"球座","tee"
"子宫内膜异位","endometriosis"
"提升","promote"
"梯田","Terraces"
"板岩","slate"
"相伴","accompany"
"芦荟","aloe vera"
"洗脸毛巾","face towel"
"主持人","host"
"主机","Host"
"节目主持人","Host"
"预测","predict"
"结合","combine"
"色板","Swatches"
"判断","judge"
"法官","Judge"
"远距离","long distance"
"茶包","tea bag"
"女士之夜","ladies night"
"冰棒","Popsicle"
"长板","long board"
"船长","captain"
"靠近","near"
"竞争","compete"
"灯箱","light box"
"车体","car body"
"高尔夫球杆","Golf clubs"
"喷雾罐","spray can"
"消防员","Firemen"
"宿舍","dormitory"
"装入罐中","canned"
"手放膝盖上","hands on knees"
"下巴","jaw"
"颌骨","jaw"
"神话","myth"
"润肤露","body lotion"
"板球运动","cricket"
"坐浴盆","bidet"
"香精油","essential oils"
"想象","imagine"
"电视机","TV set"
"支配","Dominate"
"灯串","light post"
"山雀","tit"
"禁止泊车","No parking"
"美洲豹","Jaguar"
"美洲虎","jaguar"
"古城","ancient city"
"薯片","potato chips"
"爬行纲","Reptiles"
"过大的","Oversized"
"城市游","city tour"
"试穿","try on"
"荞麦","buckwheat"
"大腿","thigh"
"贻贝","mussels"
"驹","foal"
"伊朗人","Iranian"
"聚会","reunion"
"重逢","Reunion"
"参观者","visitors"
"休闲活动","Leisure activities"
"研究人员","Researchers"
"巧克力糖","chocolate candy"
"肉馅卷饼","Empanadas"
"诱惑","lure"
"兔耳朵","rabbit ears"
"冷却器","cooler"
"嗅","sniff"
"Brilliant","Brilliant"
"后空翻","backflip"
"日光浴床","sunbeds"
"酸浆属","Physalis"
"海底","seabed"
"椒盐饼干","pretzels"
"马刀","saber"
"越南菜","Vietnamese food"
"握手","shake hands"
"乘船游","boat trip"
"失事","wrecked"
"豌豆","pea"
"小心轻放","Handle with care"
"角色扮演","role play"
"双胞胎","twin"
"高跟鞋","High heel"
"旋转","rotate"
"军用机","military aircraft"
"登山靴","Hiking boots"
"周岁生日会","first birthday party"
"灯丝","filament"
"敞篷车","convertible car"
"编剧","screenwriter"
"根茎类蔬菜","root vegetables"
"浸泡","soak"
"苏醒","wake"
"水塔","water tower"
"女佣","maid"
"宫女","maid"
"量杯","measuring cup"
"幼虫","larva"
"斧","ax"
"护发素","conditioner"
"视频会议","videoconference"
"菲律宾人","Filipino"
"铺路石","paving stones"
"洋桔梗","Lisianthus"
"风琴","organ"
"海盗","pirate"
"枕套","pillowcase"
"火车站站台","railway station platform"
"窥视","peep"
"女强人","strong woman"
"约书亚树","joshua tree"
"牌照","license"
"写实","Realistic"
"窗座","window seat"
"称重","weighing"
"赤素馨花","Frangipani"
"石榴石","garnet"
"汉服","Hanfu"
"景天科的","Crassulaceae"
"景天科","Crassulaceae"
"巴西狂欢节","Brazil Carnival"
"无法辨认的人","unrecognizable person"
"人类形象","people"
"简单生活","simplicity"
"悲痛中的少女","grief"
"创作行业","creativity"
"床","Bed - Furniture"
"做计划","planning"
"农业活动","agriculture"
"白领","business"
"金融和经济","business"
"商业活动","business"
"教育","education"
"教育活动","Education"
"环境净化","Environment"
"运输活动","transportation"
"度假","Vacations"
"水平画幅","horizontal"
"垂直画幅","vertical"
"影棚拍摄","Studio shot"
"注视镜头","Looking At Camera"
"四分之三身长","three quarter length"
"轻松的办公环境","office"
"住宅房间","Domestic Room"
"四肢","Human Limb"
"使用手机","mobile phone"
"航海活动","sailing"
"冲浪活动","surfing"
"滑雪活动","Skiing"
"科学家","scientist"
"跑","running"
"等","waiting"
"做手势","gesturing"
"笑","laughing"
"观看","watching"
"制造","manufacturing"
"工作","working"
"学习","studying"
"年夜饭","New Year's Eve"
"拜年","chinese new year"
"伸展","stretching"
"网上冲浪","Internet"
"餐饮业职位","Restaurant"
"咖啡馆","cafe"
"使用手提电脑","laptop"
"美","beauty"
"纽扣衬衫","button down shirt"
"伪装色","camouflage"
"牛仔靴","cowboy boot"
"新年卡","greeting card"
"彩色图片","Color Image"
"杂技活动","Acrobat"
"女童子军协会","Girl Scout"
"业余爱好","hobbies"
"计算机语言","Computer language"
"男子气概","Masculinity"
"中年危机","midlife crisis"
"仅一个男人","only men"
"仅男人","only men"
"使用电脑","computer"
"旅游目的地","travel"
"不看镜头","looking away"
"养老机构","Pension"
"时尚界新面孔","fashion industry"
"魅力","charming"
"2006年","2006"
"男朋友","Boyfriend"
"移动应用程序","mobile app"
"2014年","2014"
"2009年","2009"
"新年计划","New Year"
"年货","New Year"
"从容态度","Calm"
"田园风光","countryside"
"全身像","full body"
"植物生长环境","plants"
"男性美","handsome"
"人的眼睛","eyes"
"幼小动物","animals"
"松弛练习","meditation"
"满足","satisfied"
"满意","satisfied"
"娱乐活动","entertainment"
"体育活动","sports"
"虚拟办公室","remote work"
"年轻双亲","parents"
"着装得体","Business attire"
"设计行业","designer"
"航空业","aviation"
"背景分离","isolated"
"人类肌肉","muscles"
"拍摄环境","Shooting"
"影院行业","Cinema"
"服务业职位","customer service"
"发短信","text message"
"新年前夕","new Years Eve"
"电子培训","online learning"
"法律业职位","legal"
"饮食产业","catering"
"留白","blank space"
"休闲追求","leisure time"
"休闲","leisure time"
"比萨饼快递员","pizza delivery"
"零售行业职位","salesperson"
"表现积极","positivity"
"采矿业","mining"
"堕胎","abortion"
"升级改造","upgrade"
"甲状腺","thyroid"
"阿拉伯文","Arabic"
"孟加拉文化","bengali culture"
"男仆","butler"
"合法化","legalization"
"尊巴","Zumba"
"日本货币","Japanese currency"
"Bardenas Reales","Bardenas Reales"
"防弹","bulletproof"
"宅男","otaku"
"御宅族","Otaku"
"茂瑙","Murnau"
"运动日","sports day"
"赛琪","Psyche"
"单簧管","clarinet"
"布劳内克","Brauneck"
"无柄的","Sessile"
"Ordesa National Park","Ordesa National Park"
"助行车","rollator"
"叶绿素","Chlorophyll"
"艺术运动","art movement"
"烟囱清扫工人","chimney sweep"
"等号","equal sign"
"高温症","Hyperthermia"
"制糖用甜菜","sugar beet"
"幽门螺旋杆菌","Helicobacter pylori"
"糯米团","Mochi"
"肠易激综合征","irritable bowel syndrome"
"细菌学者","bacteriologist"
"理想主义者","idealist"
"马具商","saddler"
"气象学家","meteorologist"
"水芹","cress"
"野稻米","wild rice"
"气象站","weather station"
"寿喜烧","Sukiyaki"
"手术剪刀","surgical scissors"
"太空旅游","space tourism"
"守场员","fielder"
"提交搜索","Submit search"
"旗舰店","flagship store"
"针灸模型","acupuncture model"
"装有百叶窗板的","louvered"
"癌症筛查","cancer screening"
"手部按摩","hand massage"
"女子撑竿跳高","Women's pole vault"
"有须柯利牧羊犬","Bearded Collie"
"出租标志","For rent sign"
"火葱","Shallot"
"机器人流程自动化","Robotic Process Automation"
"新约","New Testament"
"多囊性卵巢综合症","polycystic ovary syndrome"
"洗手间标志","restroom sign"
"芥花籽油","canola oil"
"天体物理学","astrophysics"
"毛囊","hair follicle"
"西班牙货币","spanish currency"
"文盲","illiteracy"
"招聘会","job fair"
"竹杯","bamboo cup"
"丙烯酸和油画帆布","Acrylic and oil on canvas"
"领带别针","tie pin"
"膨润土","Bentonite"
"神经性厌食症","anorexia nervosa"
"纸镇","Paperweight"
"仓库改建","Warehouse conversion"
"日式炒面","Yakisoba"
"目标屋","target house"
"律师助理","paralegal"
"蘸碗","dipping bowl"
"代言人","spokesperson"
"偷车贼","car thief"
"昂格鲁撒克逊人","Anglo-Saxon"
"日本松","Japanese pine"
"结缔组织","connective tissue"
"癣菌","Ringworm"
"酒店钥匙","hotel key"
"猝睡症","Narcolepsy"
"盲肠","Cecum"
"有孔的","perforated"
"穿孔的","perforated"
"锯木架","Sawhorse"
"机会均等雇主","Equal Opportunity Employer"
"长号手","Trombonist"
"核糖核酸病毒","RNA virus"
"腌姜","pickled ginger"
"等级体制","hierarchy"
"层级","Hierarchy"
"免疫疗法","Immunotherapy"
"真菌学","Mycology"
"地下酒吧","speakeasy"
"纤维肌痛","Fibromyalgia"
"数字30","Number 30"
"起跑门栅","starting gate"
"兄弟会","fraternity"
"酶","enzyme"
"海上风电场","offshore wind farm"
"宝石学","Gemology"
"自行车灯","Bicycle Light"
"地形图","topographic map"
"电饭锅","rice cooker"
"宪法","constitution"
"锌","zinc"
"导液管","catheter"
"导管","catheter"
"臂挽臂","arm in arm"
"维格沃姆","wigwam"
"南瓜派香料","pumpkin pie spice"
"结肠炎","colitis"
"印度淡色艾尔","India Pale Ale"
"生物钟","biological clock"
"紧凑型轿车","compact car"
"HPV疫苗","HPV vaccine"
"漆皮","patent leather"
"副业","sideline"
"球场边线","sideline"
"福尔摩斯","Sherlock Holmes"
"五加科","Araliaceae"
"动脉硬化","arteriosclerosis"
"轮胎厂","tire factory"
"勃起","erection"
"有凹槽的","grooved"
"数字19","Number 19"
"荷兰烤肉锅","Dutch oven"
"数字时钟","Digital clock"
"灯心绒裤","corduroy pants"
"波士顿莴苣","Boston lettuce"
"龙卷风","tornado"
"节分","Setsubun"
"温度梯度","Temperature gradient"
"绿甘蓝","green cabbage"
"贡献典礼","dedication ceremony"
"七宗罪","seven deadly sins"
"现在和平","peace now"
"游戏化","Gamification"
"铜绿","Patina"
"绿锈","patina"
"狗年","Year of the Dog"
"叉状闪电","forked lightning"
"巴伦西亚桔","valencia orange"
"参议员","senator"
"锁匠","locksmith"
"媒体日","media day"
"奶酪火锅","cheese fondue"
"汽车音响","Car stereo"
"引爆器","detonator"
"喜剧小品","sketch comedy"
"等离子球","plasma ball"
"关节镜手术","Arthroscopic surgery"
"诈骗犯","scammer"
"天然海绵","natural sponge"
"高腰裤","high waist pants"
"水平轴风力发电机","horizontal axis wind turbine"
"箭木","arrowwood"
"数字13","Number 13"
"纸牌屋","house of cards"
"焙碱","baking soda"
"周围神经系统","peripheral nervous system"
"图片资料馆","Picture Library"
"科学怪人","Frankenstein"
"熏牛肉","Pastrami"
"跳板","springboard"
"行星科学","planetary science"
"幻灯机","slide projector"
"处决","execution"
"渔帽","fishing hat"
"一次性筷子","disposable chopsticks"
"鸽子肉","pigeon meat"
"逃税","tax evasion"
"真皮层","Dermis"
"肛门","anus"
"流行摇滚","pop rock"
"痔疮","hemorrhoid"
"层积云","stratocumulus"
"俳句","Haiku"
"火烈鸟百合","Flamingo Lily"
"扳手腕","Arm Wrestling"
"SIM卡","SIM card"
"歌舞伎","kabuki"
"码尺","yardstick"
"墨鱼","cuttlefish"
"火山渣锥","cinder cone"
"拇指指纹","Thumbprint"
"铜像","bronze statue"
"笋瓜","winter squash"
"叔叔","uncle"
"青少年组织","youth organization"
"票根","ticket stub"
"数码录音机","digital recorder"
"铜管","copper pipe"
"生化武器","biochemical weapon"
"雷达","radar"
"冲绳美食","Okinawan food"
"狂犬病","Rabies"
"巧克力奶昔","chocolate milkshake"
"凸的","convex"
"丝瓜","Loofah"
"铅笔屑","pencil shavings"
"胃癌","stomach cancer"
"糖纸","candy wrapper"
"有线电视","cable TV"
"腭","palate"
"直肠","rectum"
"曲棍球球门","hockey goal"
"寻宝地图","Treasure map"
"水景花园","water garden"
"疣","wart"
"扁桃体","tonsil"
"大笑瑜伽","laughter yoga"
"导弹","missile"
"姨母","aunt"
"画廊的开幕式","gallery opening"
"天灯","sky lantern"
"公投","referendum"
"立法者","legislator"
"木偶表演者","puppeteer"
"隐形眼镜盒","contact lens case"
"高腰","high waist"
"芒果雪糕","Mango ice cream"
"新干线","Shinkansen"
"尿壶","urinal"
"泌尿科医生","urologist"
"排泄系统","excretory system"
"鼠年","Year of the Rat"
"横笛","transverse flute"
"剪纸板","cardboard cutout"
"裙衬","crinoline"
"小嘴鲈鱼","smallmouth bass"
"太空舱","Space capsule"
"葡萄酒软木塞","wine cork"
"加那利岛松","canary island pine"
"指甲刷","nail brush"
"焚化炉","Incinerator"
"鲃鱼","Barbel"
"喜玛拉雅猫","himalayan cat"
"立体主义","Cubism"
"真空管","vacuum tube"
"烤苹果","baked apple"
"普通芦苇","common reed"
"樟科","Lauraceae"
"平叶欧芹","flat leaf parsley"
"魅力项链","charm necklace"
"贩卖人口","human trafficking"
"行乞碗","begging bowl"
"胃溃疡","gastric ulcer"
"香蕉蛋糕","banana cake"
"冬眠","hibernation"
"海军上将","Admiral"
"单独监禁","solitary confinement"
"切削液","cutting fluid"
"驾驶教练","driving instructor"
"磨刀器","knife sharpener"
"失败发明","failed invention"
"菊苣","endive"
"苦苣菜","Endive"
"鼓掌标志","Applause sign"
"双彩虹","double rainbow"
"荷荷巴","jojoba"
"凉拌卷心菜","coleslaw"
"神经肌肉系统","neuromuscular system"
"女帽设计者","milliner"
"安康鱼","monkfish"
"前十字韧带","anterior cruciate ligament"
"开庭审理","court hearing"
"数独","Sudoku"
"白醋","white vinegar"
"DVD机","DVD player"
"淘金","gold rush"
"脑炎","encephalitis"
"肝炎病毒","hepatitis virus"
"单眼视觉","monocular vision"
"放屁","fart"
"食物链","food chain"
"芝士面包","cheese bread"
"木兰科","Magnoliaceae"
"证言","Testimony"
"白马王子","prince charming"
"皮下的","subcutaneous"
"褐色野兔","brown hare"
"寄宿学校","boarding school"
"抗炎","Anti-inflammatory"
"针孔照相机","pinhole camera"
"未知年龄","unknown age"
"探照灯","searchlight"
"机器人手术","robotic surgery"
"风琴手","organist"
"减号","minus sign"
"烟雾检测器","smoke detector"
"尿布袋","diaper bag"
"膀胱癌","Bladder Cancer"
"凝灰岩","tuff"
"海烟","sea smoke"
"肇事逃逸","hit and run"
"鲻鱼","mullet"
"商店扒手","shoplifter"
"胆固醇测试","cholesterol test"
"吊闸","portcullis"
"炸酱面","fried noodles"
"炒面","Fried noodles"
"10点","10 O'Clock"
"寨卡病毒","Zika virus"
"鲜味","Umami"
"卷层云","Cirrostratus"
"诺福克湖区","Norfolk Broads"
"速度滑冰","speed skating"
"支气管树","bronchial tree"
"垒球","softball"
"柠檬蛋白派","Lemon Meringue Pie"
"黄热病","yellow fever"
"疝","hernia"
"距骨","Talus"
"野玫瑰","wild rose"
"桂花","Osmanthus fragrans"
"树蛙","tree frog"
"鸟鸣声","Birdsong"
"金属夹","metal clip"
"硒元素","Selenium"
"运动员村","Athletes Village"
"前排","front row"
"侄子","nephew"
"哈里斯鹰","harris hawk"
"红十字会","Red Cross"
"胶束水","micellar water"
"馆长","curator"
"Bingo Caller","Bingo Caller"
"匹诺曹","Pinocchio"
"在线广告","online advertising"
"总统候选人","presidential candidate"
"植物类型","plant type"
"用户生成内容","user generated content"
"微板块","Microplate"
"联邦大楼","federal building"
"三文鱼卷","salmon roll"
"虐待老人","elder abuse"
"不明飞行物","UFO"
"布隆德尔","Blondel"
"肉汁薯条","poutine"
"黑小麦","triticale"
"天上掉馅饼","Pie in the sky"
"半自动手枪","semi-automatic pistol"
"儿媳妇","daughter-in-law"
"窗帘轨","curtain rail"
"尘螨","dust mite"
"磅蛋糕","pound cake"
"色情","pornography"
"红桃A","Ace of Hearts"
"高压锅","pressure cooker"
"膀胱炎","Cystitis"
"咽炎","pharyngitis"
"淋巴瘤","Lymphoma"
"正弦波","sine wave"
"21岁生日","21st birthday"
"混血儿","mulatto"
"复合维生素B","Vitamin B complex"
"多巴胺","dopamine"
"胶原蛋白诱导疗法","Collagen induction therapy"
"丙型肝炎","Hepatitis C"
"婚姻咨询","marriage counseling"
"肝炎","hepatitis"
"周三","Wednesday"
"开罐器","can opener"
"回力球","jai alai"
"加州卷","California roll"
"加湿器","humidifier"
"摸索","groping"
"车蜡","car wax"
"拘束衣","Straitjacket"
"数字23","Number 23"
"黄绿藻","yellow-green algae"
"视黄醇","Retinol"
"高保真音响","hi-fi"
"社区看护","community care"
"复眼","compound eye"
"陶工旋盘","Potter's Wheel"
"股票交易员","stock trader"
"方舟","ark"
"借书证","Library card"
"摔跤面具","wrestling mask"
"牙髓学","Endodontics"
"轮盘赌转轮","roulette wheel"
"缰绳","reins"
"重量级别","weight class"
"主题演讲","Keynote Speech"
"起搏器","pacemaker"
"巴西货币","brazilian currency"
"引座员","usher"
"慈善家","philanthropist"
"Mud Pot","Mud Pot"
"缺血","ischemia"
"教师节","Teachers' Day"
"挂衣杆","Clothes rail"
"皮肤美白","skin whitening"
"神灯","magic lamp"
"合法抗辩","legal defense"
"工艺刀","craft knife"
"刽子手","executioner"
"皮纸","vellum"
"气垫床","Air bed"
"宽松的牛仔裤","baggy jeans"
"封蜡","sealing wax"
"壁脚板","skirting board"
"北爱尔兰旗","Northern Ireland flag"
"立石","standing stone"
"奶油派","Cream pie"
"糕点切刀","pastry cutter"
"趾环","toe ring"
"数字音频存储介质","digital audio storage media"
"复活节兔子耳朵","easter bunny ears"
"条约","treaty"
"花园伞","garden umbrella"
"公共厕所","public toilet"
"砂糖","granulated sugar"
"桌巾","table runner"
"喷墨盒","inkjet cartridge"
"石英岩","quartzite"
"1040税表","1040 tax form"
"6点","6 o'clock"
"朝鲜战争","Korean War"
"雹暴","Hailstorm"
"科萨人的文化","Xhosa culture"
"外骨骼","Exoskeleton"
"膜","membrane"
"建筑信息模型","building information modeling"
"大幅面打印机","large format printer"
"交叉询问","cross-examination"
"盘尼西林","penicillin"
"老派说唱","old school rap"
"剪彩","Ribbon cutting"
"曲棍球队","hockey team"
"二分裂","binary fission"
"机密","confidential"
"解放宣言","Emancipation Proclamation"
"总理","Prime Minister"
"写字椅","writing chair"
"祝愿康复卡","Get well card"
"半正式","semi-formal"
"白鲑","whitefish"
"阴影叠层","shadow overlay"
"总督","governor"
"光驱","CD-ROM drive"
"座右铭","motto"
"玳瑁猫","tortoiseshell cat"
"火枪手","musketeer"
"Javascript","Javascript"
"Web3","Web3"
"X光眼镜","X-ray glasses"
"桃花心木","mahogany"
"自动点唱机","jukebox"
"黑豆","black beans"
"为成功而打扮","dress for success"
"电解质","electrolyte"
"驿站马车","stagecoach"
"Y一代人","Generation Y"
"救赎中心","Redemption Center"
"激素替代疗法","hormone replacement therapy"
"奶油沙司","cream sauce"
"线图标","Line icon"
"牛排刀","steak knife"
"埃及女神","egyptian goddess"
"未成年人饮酒","underage drinking"
"基皮细胞癌","basal cell carcinoma"
"翻译过程","translation process"
"钢化玻璃","tempered glass"
"摄政时期风格","regency style"
"选择对焦","focus"
"焦点","focus"
"对焦","focus"
"猎户座大星云","Orion Nebula"
"水泵站","water pumping station"
"脐橙","navel orange"
"年刊照片","Yearbook"
"蛋酒","eggnog"
"草食","grass-fed"
"罚球","penalty"
"天青石","lapis lazuli"
"火药","gunpowder"
"桔子汽水","orange soda"
"拜物主义","fetishism"
"亚洲大米","asian rice"
"未婚女子","spinster"
"饮食","diet"
"兔年","Year of the Rabbit"
"红色章鱼","red octopus"
"小排骨","Short ribs"
"冰淇淋苏打","ice cream soda"
"楣梁","architrave"
"工业用门","industrial door"
"面包切片机","bread slicer"
"杂志架","magazine rack"
"医学扫描仪器","medical scanning equipment"
"往下看","look down"
"餐车","dining car"
"餐车厢","dining car"
"奶酪酱","cheese sauce"
"外上髁","Lateral epicondyle"
"野兽主义","Brutalism"
"壁炉拔火棍","Fireplace poker"
"苹果马提尼","Apple Martini"
"触摸","touch"
"个人护理","personal care"
"奶粉","milk powder"
"灯笼裤","bloomers"
"皱眉头","frown"
"玄米茶","Genmaicha"
"玛雅文明","Mayan civilization"
"中东音乐","middle eastern music"
"牙本质","Dentin"
"猪油","lard"
"羚牛","takin"
"菠萝蜜","jackfruit"
"温菲尔德史考特","winfield scott"
"艾蒿","mugwort"
"吃","eat"
"向上看","look up"
"仰头","Look up"
"黑人历史月","black history month"
"早期智人","early homo sapiens"
"柱状图","bar chart"
"千足虫","millipede"
"绿酱","green sauce"
"行李车","Luggage trolley"
"寄生虫感染","parasitic infection"
"妇女选举权","women's suffrage"
"拦路抢劫者","highwayman"
"亚历山大技巧","Alexander Technique"
"汽车展示厅","car showroom"
"宝石学家","gemologist"
"黄体酮","progesterone"
"性商店","sex shop"
"牛鞭","bullwhip"
"白皮书报告","white paper report"
"浣熊帽","raccoon hat"
"烟盒","cigarette case"
"后台通行证","backstage pass"
"新娘母亲","mother of the bride"
"冰茶","iced tea"
"成吉思汗","Genghis Khan"
"概念","Concepts and themes"
"概念和主题","Concepts and themes"
"褪黑素","Melatonin"
"肩外展","shoulder abduction"
"尖嘴钳","Needle nose pliers"
"蔬菜水果商","greengrocer"
"蔬菜水果店","greengrocer"
"金枪鱼沙拉三明治","Tuna Salad Sandwich"
"芦笋蕨","asparagus fern"
"门卫","doorman"
"门童","doorman"
