"young abstract","Abstract"
"feiern","celebrate"
"revelling","celebrating"
"solemnizing","celebrating"
"revelry","Celebration"
"tolla bash","Celebration"
"feste","Celebration"
"nauryz","Celebration"
"specialday","Celebration"
"jollification","Celebration"
"happy hundred","celebratory event"
"popstars","Celebrities"
"celebs","Celebrities"
"corpuscle","cell"
"movil","cell phone"
"violoncello","Cello"
"callphone","cellphone"
"cementerio","Cemetery"
"cmentarz","Cemetery"
"ghatsthapana","Ceremony"
"zeugnis","Certificate"
"shackle","chain"
"kursi","Chair"
"kreide","chalk"
"gauntlet","Challenge"
"herausforderung","Challenge"
"champagner","Champagne"
"modification","Change"
"conversion","Change"
"reversal","Change"
"mutate","Change"
"turnaround","Change"
"varying","changing"
"kanal","channel"
"canale","channel"
"disarray","Chaos"
"mayhem","Chaos"
"unorganized","chaotic"
"tom salyer","character"
"mary poppins","character"
"acharcoal","charcoal"
"winsome","Charming"
"histogram","Chart"
"banter","chat"
"kibitz","chat"
"unfaithful","cheating"
"chequered","checkered"
"chequred","checkered"
"kariert","checkered"
"chequers","Checkers"
"cheking analisis","checking"
"cashdesk","Checkout"
"canty","Cheerful"
"frohlich","Cheerful"
"jocund","Cheerful"
"chirpy","Cheerful"
"jaunty","Cheerful"
"sanguine","Cheerful"
"heitere","Cheerful"
"jollied","Cheerful"
"blithesome","Cheerful"
"happy positive","Cheerful"
"iloinen","Cheerful"
"prosit","cheers"
"zuprosten","cheers"
"chee","Cheese"
"appenzeller","Cheese"
"mascarpone","Cheese"
"corny","cheesy"
"shef","Chef"
"urethane","Chemical"
"endorphins","chemicals"
"chemo","chemotherapy"
"chessmen","chess pieces"
"pectoral","chest"
"torax","chest"
"pecs","chest muscles"
"pectorals","chest muscles"
"varicella","Chickenpox"
"princeps","chief"
"preadolescent","Child"
"gradeschooler","Child"
"kindergartener","Child"
"enfant","Child"
"urchin","Child"
"nino","Child"
"bairn","Child"
"tyke","Child"
"sprog","Child"
"dchen","Child"
"kindheit","Childhood"
"infantile","childish"
"infantil","childish"
"babes","children"
"bairns","children"
"coolness","chill"
"chillaxing","chilling"
"coldish","chilly"
"chimneysweep","chimney sweep"
"yuanbao","chinese coin"
"imlek","Chinese New Year"
"chocolat","Chocolate"
"cikolata","Chocolate"
"schokolade","Chocolate"
"optional","Choice"
"suffocating","Choking"
"christus","christ"
"christentum","Christianity"
"weihnachten","Christmas"
"weihnachtsschmuck","christmas decorations"
"weihnachtsmarkt","Christmas Market"
"tannenbaum","Christmas Tree"
"weihnachtsbaum","Christmas Tree"
"christbaum","Christmas Tree"
"greenscreen","Chroma Key"
"podgy","chubby"
"pudge","chubby"
"chiesa","Church"
"igreja","Church"
"stogie","Cigar"
"zigarre","Cigar"
"ciggy","Cigarette"
"zigarette","Cigarette"
"fags","cigarettes"
"cine","cinema"
"wreathe","Circle"
"grossstadte","cities"
"burgher","citizen"
"staatsbuerger","citizen"
"naturalization","Citizenship"
"zitrusfruechte","citrus fruits"
"citrones","citrus fruits"
"urbanity","City Life"
"actinopterygii","class"
"klassik","classic"
"classicistic","classical"
"schoolmate","classmate"
"schoolmates","classmates"
"schoolroom","Classroom"
"collarbone","Clavicle"
"argil","Clay"
"kaolin","Clay"
"unpolluted","Clean"
"reinigen","Clean"
"swabber","Cleaner"
"putzender","Cleaner"
"housecleaning","Cleaning"
"pulizie","Cleaning"
"janitorial","Cleaning"
"mopping floor","Cleaning"
"depolluting","Cleaning"
"putzende","Cleaning"
"putzendes","Cleaning"
"tidiness","cleanliness"
"sanitariness","cleanliness"
"purge","cleanse"
"detoxify","cleanse"
"detoxification","cleansing"
"enema","cleansing"
"distinct","clear"
"pronounced","clear"
"crystalline","clear"
"unclouded","clear"
"limpid","clear"
"unclog","clear"
"explicit","clear"
"definite","clear"
"pellucid","clear"
"salesclerk","clerk"
"ingenious","clever"
"witty","clever"
"artfull","clever"
"falaise","Cliff"
"clime","Climate"
"polyclinic","clinic"
"klinik","clinic"
"pincher","clip"
"clockface","Clock Face"
"poradaha","close-up shot"
"zipped","Closed"
"zipping","Closing"
"shutting","Closing"
"kleider","clothes"
"garbs","clothes"
"dishdasha","Clothing"
"garb","Clothing"
"indumentaria","Clothing"
"cam kim","Clothing"
"ehram","Clothing"
"wolke","cloud"
"bewoelkt","cloudy"
"bewolkt","cloudy"
"pierrot","Clown"
"buffo","Clown"
"anthracite","Coal"
"meereskuste","coast"
"littoral","coastal"
"seaboard","Coastline"
"topcoat","coat"
"undercoat","coat"
"windycoat","coat"
"blazon","Coat Of Arms"
"roach","Cockroach"
"highball","Cocktail"
"caipiroska","Cocktail"
"caipisake","Cocktail"
"longdrinks","cocktails"
"cocos nucifera","Coconut"
"kelapa","Coconut"
"wata","Coconut Water"
"kokosnuesse","coconuts"
"coffeebreak","Coffee Break"
"kaffeepause","Coffee Break"
"kaffeetasse","Coffee Cup"
"kaffeetassen","coffee cups"
"percolator","Coffee Maker"
"caffettiera","Coffee Maker"
"coffeecup","coffee mug"
"ibrik","Coffee Pot"
"coinbank","Coin Bank"
"reales","coins"
"rhinitis","cold"
"sniffle","cold"
"coryza","cold"
"kalt","cold"
"rhume","cold"
"headcold","cold"
"kylma","cold"
"kalte","cold"
"unsympathetic","cold"
"erkaltet","cold"
"erkaltung","cold"
"erkaltete","cold"
"erkalteter","cold"
"erkaltetes","cold"
"frappe","Cold Drink"
"nikecourt x sacai","collaboration"
"kragen","Collar"
"compilation","Collection"
"assemblage","Collection"
"roundup","Collection"
"greencollection","Collection"
"aggregation","Collection"
"co-eds","college students"
"coeds","college students"
"smashup","collision"
"colonia","colony"
"farbige","colored"
"farbiger","colored"
"colorized","colored"
"colourized","colored"
"farbig","colorful"
"buntes","colorful"
"buntem","colorful"
"pigmentation","Coloring"
"colouration","Coloring"
"farben","Colors"
"merger","combine"
"easiness","comfort"
"snugness","comfort"
"comfortableness","comfort"
"relieve livingroom","comfort"
"cozyness","comfort"
"homelike","Comfortable"
"cushy","Comfortable"
"bequeme","Comfortable"
"bequemer","Comfortable"
"bequemes","Comfortable"
"consoler","comforter"
"heartwarming","comforting"
"reassuring","comforting"
"humorist","comic"
"commerc","commerce"
"kodawari","commitment"
"observance","commitment"
"commital","commitment"
"kommunikation","Communication"
"communi","Communication"
"comunicacion","Communication"
"nonverbally","Communication"
"telegraph","communication device"
"naxalism","Communism"
"lgbtqi","Community"
"comunidad","Community"
"glbt","Community"
"equate","Compare"
"kompetenz","competence"
"olympiad","Competition"
"challenger","competitor"
"contender","competitor"
"whining","Complaining"
"grumbling","Complaining"
"complicated","complex"
"entanglement","Complexity"
"songsmith","Composer"
"sebastian bach","Composer"
"homecomputer","Computer"
"snobbish","conceited"
"konzentration","Concentration"
"concentra","Concentration"
"solicitude","concern"
"konzert","Concert"
"philharmonie","Concert Hall"
"beton","Concrete"
"censure","condemn"
"catsup","Condiment"
"raynauds","Condition"
"peptic esophagitis","Condition"
"dupuytren","Condition"
"freeheel","Condition"
"diathesis","Condition"
"symposium","conference"
"certainty","Confidence"
"assuredness","Confidence"
"selbstbewusst","confident"
"selbstbewusste","confident"
"discord","Conflict"
"strife","Conflict"
"showdown","Confrontation"
"perplex","confuse"
"perplexed","confused"
"dazed","confused"
"dont understand","confused"
"mystified","confused"
"flustered","confused"
"do not understand","confused"
"flurried","confused"
"nonplussed","confused"
"muddled","confused"
"befuddled","confused"
"puzzlement","Confusion"
"perplexity","Confusion"
"disorientation","Confusion"
"muddle","Confusion"
"bafflement","Confusion"
"turmoil","Confusion"
"perplexedness","Confusion"
"fuddle","Confusion"
"felicitation","congratulation"
"relational","connected"
"linkage","Connection"
"hookup","Connection"
"geniesser","Connoisseur"
"sunroom","conservatory"
"bethink","consider"
"evenness","consistency"
"draco","Constellation"
"bauwirtschaft","Construction Industry"
"baustelle","Construction Site"
"consu","consultant"
"berater","consultant"
"professionalconsultation","consultation"
"beratung","consultation"
"devour","consume"
"konsum","consumption"
"transmissible","contagious"
"cartridge","Container"
"pillbox","Container"
"quart","Container"
"boxship","Container Ship"
"costers","containers"
"betrachtendes","contemplative"
"contemplativeness","contemplative"
"scornful","contemptuous"
"disdainful","contemptuous"
"face-off","Contest"
"indenture","Contract"
"slider","Control"
"kontrollieren","Control"
"nunnery","Convent"
"discourse","conversation"
"chitchat","conversation"
"interlocution","conversation"
"conversate","converse"
"talk to someone","converse"
"softtop","convertible car"
"kocht","Cooked"
"woopies","cookies"
"pan pot","cooking pot"
"pipkin","cooking pot"
"kuehl","cool"
"nippy","cool"
"chiller","cooler"
"synchronization","Coordination"
"hovedstaden","Copenhagen"
"kopenhagen","Copenhagen"
"cobre","Copper"
"copy sp","Copy Space"
"plagiarism","Copying"
"acropora","coral"
"korallen","corals"
"zea mays","Corn"
"mealie","Corn"
"callosity","Corn"
"nook","Corner"
"rona","corona"
"korpri","corporation"
"debug","correct"
"venality","Corruption"
"kostuem","Costume"
"costumejava","Costume"
"q-tips","cotton swabs"
"daybed","couch"
"staaten","countries"
"boldness","Courage"
"guts","Courage"
"fearlessness","Courage"
"intrepidity","Courage"
"mettle","Courage"
"valor","Courage"
"gritty","courageous"
"gallant","courageous"
"courrier","courier"
"darbaar","court"
"cour","court"
"unionalls","Coveralls"
"bedeckte","covered"
"bedeckter","covered"
"enwrapped","covered"
"bekleidetes","covered"
"overlaid","covered"
"sheathing","Covering"
"hands to face","covering face"
"wuhan2019-ncov","COVID-19"
"cowpoke","Cowboy"
"cowhand","Cowboy"
"buckaroo","Cowboy"
"kuehe","cows"
"cowhouse","Cowshed"
"byre","Cowshed"
"microprocessor","CPU"
"brachyura","Crab"
"woodcarvers","Craft"
"artesania","Craft"
"handwerkskuenste","crafts"
"handwerkskunste","crafts"
"turner","craftsman"
"handwerker","craftsman"
"engraver","craftsman"
"artificer","craftsman"
"handwerkende","craftsman"
"handwerkendes","craftsman"
"artisanship","craftsmanship"
"artisanry","craftsmanship"
"handwerkskunst","craftsmanship"
"handicraftsperson","Craftsperson"
"handwerkend","crafty"
"slam","Crash"
"lunatic","crazy"
"frantic","crazy"
"zany","crazy"
"out of my mind","crazy"
"batty","crazy"
"loca","crazy"
"conjure","create"
"formulation","Creation"
"crea","Creation"
"inventive","creative"
"artful","creative"
"recreative","creative"
"ingenios","creative"
"inventiveness","Creativity"
"ingenuity","Creativity"
"kreativitat","Creativity"
"critter","creature"
"credcute","Credit Card"
"lender","creditor"
"craw","Crevice"
"criminality","Crime"
"felony","Crime"
"outlaw","Criminal"
"offender","Criminal"
"felons","criminals"
"offenders","criminals"
"reviewer","Critic"
"sativus","crop"
"murtomaahiihto","Cross-Country Skiing"
"traverses","crosses"
"crissing","Crossing"
"hunkering","crouching"
"diadema","crown"
"barbarous","Cruel"
"merciless","Cruel"
"sadistic","Cruel"
"cruise liner","Cruise Ship"
"knocked for six","Crushed"
"sobbing","Crying"
"lachrymation","Crying"
"cristallo","Crystal"
"cubana","cuban"
"gurken","cucumbers"
"tex-mex","cuisine"
"hashi","cuisine"
"vegeculture","cultivation"
"anbau","cultivation"
"kulturell","cultural"
"kulturelle","cultural"
"kultureller","cultural"
"kulturelles","cultural"
"kulturerbe","cultural heritage"
"kulturen","Cultures"
"andean civilizations","Cultures"
"copa","Cup"
"tasse","Cup"
"curato","curator"
"inquisitiveness","Curiosity"
"ringlet","curl"
"frizzy","curly"
"lockiges haar","Curly Hair"
"gelocktes gelockte","Curly Hair"
"afrocurls","Curly Hair"
"ruble","Currency"
"pennies","Currency"
"rouble","Currency"
"baht","Currency"
"roubles","Currency"
"rupiah","Currency"
"peso","Currency"
"pesos","Currency"
"lira","Currency"
"pound sterling","Currency"
"thousands ruble","Currency"
"valuta","Currency"
"shekel","Currency"
"sigmoid","curved"
"headrest","Cushion"
"cushma","Cushion"
"detention","custody"
"guardianship","custody"
"folkways","Customs"
"snip","cut"
"crosscut","cut"
"schneiden","cut"
"angeschnitten","cut"
"sawn","cut into pieces"
"onglet","Cut of Meat"
"intercept","cut off"
"shearing","Cutting"
"chiselling","Cutting"
"snipping","Cutting"
"slashing","Cutting"
"cyclism","Cycling"
"cyclers","cyclists"
"bicyclers","cyclists"
"cesky","czech"
"teckel","Dachshund"
"narcissi","daffodils"
"kris","Dagger"
"diurn","daily"
"breakdancer","Dancer"
"bellydancer","Dancer"
"raver","Dancer"
"tanzerin","Dancer"
"stripteaser","Dancer"
"tanzender","Dancer"
"tanzer","Dancer"
"tanzerinnen","dancers"
"frolicking","Dancing"
"tanzen","Dancing"
"tangoing","Dancing"
"tanzend","Dancing"
"tanzende","Dancing"
"tanzendes","Dancing"
"gefahr","Danger"
"unsafety","Danger"
"perilous","dangerous"
"treacherous","dangerous"
"shadowy","Dark"
"dunkle","Dark"
"dunkel","Dark"
"unlit","Dark"
"dunklen","Dark"
"dunkele haut","dark skin"
"dards","Darts"
"datum","Data"
"courtship","Dating"
"pahela","Day"
"reverie","daydream"
"zoning out","daydreaming"
"lifeless","Dead"
"demise","Death"
"controversy","Debate"
"detritus","debris"
"owes","Debt"
"indebtedness","Debt"
"tartar","decay"
"dilapidation","decay"
"make decision","Decide"
"sundeck","Deck"
"liegestuhl","Deck Chair"
"degrade","decline"
"bedecktes","decorated"
"dekorierte","decorated"
"dekoriert","decorated"
"spangle","Decoration"
"embellishings","decorations"
"dekorationen","decorations"
"dekorations","decorations"
"devotedness","Dedication"
"profound","Deep"
"pard","Deer"
"overcome","Defeat"
"rout","Defeat"
"drubbing","Defeat"
"fend","defend"
"fending","defending"
"protecting themselves","defending"
"rampart","defensive wall"
"allat","deity"
"delirio","delirium"
"currier","Delivery Person"
"strenuous","Demanding"
"exacting","Demanding"
"incubus","demon"
"proving","demonstrating"
"disavowal","Denial"
"stomatological","dental"
"dentoid","dental"
"teethcare","dental care"
"toothcare","dental care"
"happy tooth","Dental Health"
"flossing","dental hygiene"
"stomatologist","Dentist"
"hygienist","Dentist"
"pedodontist","Dentist"
"at the dentists","Dentist"
"gebiss","Dentures"
"antiperspirant","Deodorant"
"neediness","dependence"
"abhangigkeit","dependence"
"deprimiert","depressed"
"deprimierte","depressed"
"deprimierter","depressed"
"deprimiertes","depressed"
"melancholia","depression"
"despondency","depression"
"desc","Description"
"pustynia","desert"
"desing","Design"
"devise","Design"
"entwerfen","Design"
"styler","designer"
"visualizer","designer"
"alexander wang","designer"
"modeler","designer"
"lust","Desire"
"willingness","Desire"
"lustiness","Desire"
"durst","Desire"
"verzweiflung","Despair"
"verzweifelt","desperate"
"verzweifelte","desperate"
"verzweifelter","desperate"
"shortcake","dessert"
"jello","dessert"
"dest","destination"
"destino","destination"
"ravage","destroy"
"doom","Destruction"
"havoc","Destruction"
"detalle","detail"
"elaborate","detailed"
"elaborated","detailed"
"particulars","details"
"sleuth","Detective"
"degradation","Deterioration"
"decidedness","Determination"
"resoluteness","Determination"
"urbanize","develop"
"industrialization","Development"
"entwicklung","Development"
"clapper","device"
"shredder","device"
"electrostimulator","device"
"fishtrap","device"
"immobilizer","device"
"winder","device"
"electro-stimulator","device"
"stereoscope","device"
"multiplexer","device"
"gerat","device"
"reactor","device"
"nebulisers","devices"
"gerate","devices"
"religiosity","devotion"
"mellitus","Diabetes"
"daybook","Diary"
"tyrant","Dictator"
"fibre roughage","Dietary Fiber"
"gott","diety"
"dagon","diety"
"allaha","diety"
"amun","diety"
"isten","diety"
"differing","different"
"set apart","different"
"unlike","different"
"tricky","difficult"
"arduous","difficult"
"abstruse","difficult"
"digi","digital"
"digicam","Digital Camera"
"digitazing","Digitizing"
"rundown","dilapidated"
"conscientious","diligent"
"assiduous","diligent"
"fleissig","diligent"
"sedulous","diligent"
"t-rex","Dinosaur"
"azimuth","Direction"
"direc","Direction"
"muck","Dirt"
"scum","Dirt"
"filthy","Dirty"
"unsanitary","Dirty"
"mucky","Dirty"
"squalid","Dirty"
"sordid","Dirty"
"disablement","Disability"
"contradiction","disagreement"
"dissent","disagreement"
"disillusioned","disappointed"
"disenchanted","disappointed"
"enttauscht","disappointed"
"bummer","Disappointment"
"catastrophe","disaster"
"tameness","discipline"
"unease","discomfort"
"cringe","discomfort"
"discounter","Discount Store"
"parley","Discussion"
"mers","disease"
"monkeypox","disease"
"blight","disease"
"blueht","disease"
"krankheit","disease"
"roseola infantum","disease"
"preventative mers","disease prevention"
"repulsion","Disgust"
"repugnance","Disgust"
"abhorrence","Disgust"
"mussy","disheveled"
"rogue","dishonest"
"deceitful","dishonest"
"underhanded","dishonest"
"untrustworthy","dishonest"
"corruptibility","Dishonesty"
"disk3","Disk"
"aversion","dislike"
"antipathy","dislike"
"disorganisation","disorder"
"showoff","display"
"mediascreen","display"
"readout","display"
"auslage","display"
"unamused","Displeased"
"ungratified","Displeased"
"throwaway","Disposable"
"contention","dispute"
"unpleased","dissatisfied"
"malcontent","dissatisfied"
"aloofness","distance"
"afar","Distant"
"aloof","Distant"
"unapproachable","Distant"
"standoffish","Distant"
"spacing out","Distracted"
"diversion","distraction"
"soho","District"
"okres","District"
"barrio","District"
"precinct","District"
"distrito","District"
"arrondissement","District"
"chuo-ku","District"
"raion","District"
"comarca","District"
"unsettling","disturbing"
"furrow","Ditch"
"plunge","dive"
"snorkeller","diver"
"seekerunderwater","diver"
"multifarious","diverse"
"varied","diverse"
"aqualung","Diving Equipment"
"genetic code","DNA"
"stevedore","Dock Worker"
"doktoren","doctors"
"waybill","Document"
"dokument","Document"
"docu","Document"
"dokumente","documents"
"dokuments","documents"
"canis lupus familiaris","Dog"
"pooch","Dog"
"yorkie","dog breed"
"pinscher","dog breed"
"maremma","dog breed"
"sharpei","dog breed"
"sighthound","dog breed"
"leonberger","dog breed"
"galgo","dog breed"
"chow-chow","dog breed"
"minipin","dog breed"
"petit braban on","dog breed"
"finnish lapphund","dog breed"
"gazehound","dog breed"
"bearhillhusky","dog breed"
"berner sennenhund","dog breed"
"chow chow","dog breed"
"heeler","dog breed"
"walkingdog","Dog Walking"
"matrioshka","Doll"
"greenback","dollar"
"dolomiten","Dolomites"
"canis familiaris","domestic dog"
"give away","donate"
"equus asinus","Donkey"
"bouncer","doorman"
"oors","doors"
"doorframe","Doorway"
"dorm","dormitory"
"speckles","dots"
"doble","double"
"contrabass","Double Bass"
"mistrust","doubt"
"scepticism","doubt"
"dubium","doubt"
"disbelieve","doubt"
"qualm","doubt"
"dubiety","doubt"
"cruller","Doughnut"
"trisomy 21","Down Syndrome"
"downpipe","Drain"
"theatric","dramatic"
"histrionic","dramatic"
"visionary","dreamer"
"idealistic","dreamer"
"oneiric","Dreamlike"
"sevivon","Dreidel"
"saturated","Drenched"
"housedress","Dress"
"kleid","Dress"
"vestido","Dress"
"minidress","Dress"
"vestito","Dress"
"kleidercode","Dress Code"
"bekleidet","dressed"
"angezogene","dressed"
"decked out","dressed"
"bekleidete","dressed"
"clothier","Dresser"
"sundresses","dresses"
"vistiendo","dressing"
"modiste","dressmaker"
"desiccated","dried"
"dessicated","dried"
"reaming","drilling"
"trinken","Drink"
"gulp","Drink"
"drinki","Drink"
"bebida","Drink"
"imbibe","Drink"
"swig","Drink"
"tipple","Drink"
"kumis","Drink"
"imbibing","Drinking"
"bebiendo","Drinking"
"libations","drinks"
"trickle","drip"
"trickling","dripping"
"fahrer","driver"
"motorists","drivers"
"freefall","Drop"
"papaverine","Drug"
"druggy","drug addict"
"cajon","drum"
"darbuka","drum"
"jembe","drum"
"tipsy","Drunk"
"inebriate","Drunk"
"inebriated","Drunk"
"betrunken","Drunk"
"boose","Drunk"
"inebrious","Drunk"
"rainless","Dry"
"desiccation","Drying"
"blowdrying","Drying Hair"
"clotheshorse","Drying Rack"
"wallboard","Drywall"
"ente","duck"
"herzog","duke"
"drab","dull"
"hantel","Dumbbell"
"vareniki","dumplings"
"gyoza","dumplings"
"duene","dune"
"duenen","dunes"
"dunen","dunes"
"sandduene","dunes"
"sandduenen","dunes"
"nightfall","Dusk"
"evenfall","Dusk"
"crepuscular","Dusk"
"chaff","Dust"
"powdery","dusty"
"midget","dwarf"
"redying","dyeing"
"starting young","early"
"tierra","earth"
"erde","earth"
"quake","Earthquake"
"lumbricus terrestris","earthworm"
"osten","East"
"slavonic","Eastern Europe"
"slav","Eastern Europe"
"munch","eat"
"essender","eater"
"carenderia","eatery"
"munching","Eating"
"essende","Eating"
"essendes","Eating"
"chomping","Eating"
"addephagia","Eating Disorder"
"adephagia","Eating Disorder"
"overhearing","Eavesdropping"
"excentric","Eccentric"
"oeko","eco"
"sparsamkeit","Economy"
"ecosphere","Ecosystem"
"aquaria","Ecosystem"
"verge","edge"
"punky","edgy"
"comestible","edible"
"esculent","edible"
"esculenta","edible"
"revise","edit"
"revising","editing"
"remixing","editing"
"retoucher","Editor"
"corrector","Editor"
"proofreader","Editor"
"academia","Education"
"knowledgeforall","Education"
"bildung","Education"
"thinkful","Education"
"ausbildung","Education"
"educa","Education"
"study learn","Education"
"educative","educational"
"informational","educational"
"effectiveness","Efficiency"
"operativeness","Efficiency"
"exertion","Effort"
"endeavor","Effort"
"anstrengung","Effort"
"glair","Egg White"
"solanum melongena","Eggplant"
"stretchy","elastic"
"senile","elderly"
"senil","elderly"
"anciana","elderly woman"
"pedelec","Electric Bicycle"
"electromobile","Electric Vehicle"
"galvanic","electrical"
"inductor","Electrical Component"
"electro","electronic"
"triode","Electronic component"
"gracefulness","Elegance"
"classiness","Elegance"
"eleganz","Elegance"
"dressiness","Elegance"
"eleme","element"
"gradeschool","Elementary School"
"elefante","Elephant"
"exaltation","elevation"
"chagrin","Embarrassment"
"dramatization","Embellishment"
"personified","embodied"
"anfassende","Embracing"
"needlepoint","Embroidery"
"stickerei","Embroidery"
"radiating","Emitting"
"emoti","Emotion"
"affective","emotional"
"teary","emotional"
"stolid","emotionless"
"emociones","emotions"
"kaiser","Emperor"
"imperator","Emperor"
"imperato","Emperor"
"imperatore","Emperor"
"empereur","Emperor"
"staffer","Employee"
"angestellte","Employee"
"angestellter","Employee"
"pegawai","Employee"
"empleado","Employee"
"void","Empty"
"kraal","Enclosure"
"vivarium","Enclosure"
"come on","Encouragement"
"terminate","end"
"doesend","end"
"conclude","end"
"finality","end"
"imperiled","endangered"
"bottomless","endless"
"hater","enemy"
"adversary","enemy"
"vigorous","energetic"
"punchy","energetic"
"liveliness","energy"
"vigour","energy"
"vigor","energy"
"dynamism","energy"
"spiritedness","energy"
"caloric","energy"
"ener","energy"
"involved","engaged"
"at play","engaged"
"betrothed","engaged"
"betrothal","Engagement"
"ingenieur","Engineer"
"ingeniuer","Engineer"
"ingenieurwesen","Engineering"
"copperplate","Engraving"
"geniessen","enjoy"
"inputting","Entering"
"regale","entertain"
"showbiz","entertainment"
"verve","enthusiasm"
"fervor","enthusiasm"
"zeal","enthusiasm"
"keenness","enthusiasm"
"fervour","enthusiasm"
"entranceway","entrance"
"ingress","entrance"
"entranceways","entrances"
"startupper","Entrepreneur"
"capitalist","Entrepreneur"
"enterprisser","Entrepreneur"
"admittance","entry"
"environnement","Environment"
"milieu","Environment"
"enviro","Environment"
"environ","Environment"
"enviromental","environmental"
"treehugger","Environmentalist"
"pleistocene","epoch"
"equility","Equality"
"horserider","equestrian"
"gymkhana","Equestrian Event"
"paraphernalia","Equipment"
"ausrustung","Equipment"
"rigs","Equipment"
"equipage","Equipment"
"ratanakosin","era"
"outburst","eruption"
"travelator","Escalator"
"on the run","Escaping"
"fleeing","Escaping"
"escapingreality","Escapism"
"ristretto","Espresso"
"elemental","essential"
"attar","Essential Oil"
"etnicidad","Ethnicity"
"sera","evening"
"abendkleid","evening dress"
"abendgarderobe","Evening Wear"
"happening","Event"
"afwl2017","Event"
"fsm2020","Event"
"march madness","Event"
"wiesn","Event"
"fibark","Event"
"matinee","Event"
"parktacular","Event"
"rock fall","Event"
"superbowl","Event"
"evento","Event"
"l eroica","Event"
"leroica","Event"
"phenomena","events"
"veranstaltungen","events"
"devilish","Evil"
"malicious","Evil"
"diabolical","Evil"
"demoniac","Evil"
"overreact","exaggerate"
"examen","exam"
"perusal","examination"
"scrutinising","Examining"
"surfeit","Excess"
"wechselkurs","Exchange Rate"
"rapturous","excited"
"enthused","excited"
"abuzz","excited"
"extatic","excited"
"frenzy","Excitement"
"rousing","exciting"
"exklusiven","Exclusive"
"ejecutivo","executive"
"execu","executive"
"executi","executive"
"fitball","exercise ball"
"physioball","exercise ball"
"hometrainer","Exercise Bike"
"battleropes","Exercise Equipment"
"orbitrack","Exercise Equipment"
"uebungen","exercises"
"ejerccios","exercises"
"anstrengen","exert"
"deplete","exhaust"
"spent","exhausted"
"maxed out","exhausted"
"knackered","exhausted"
"erschopft","exhausted"
"overweary","exhausted"
"erschopfte","exhausted"
"erschoepft","exhausted"
"erschopftes","exhausted"
"erschoepfte","exhausted"
"erschoepfter","exhausted"
"erschopfung","Exhaustion"
"erschoepfung","Exhaustion"
"expat","Expatriate"
"outgo","expenditure"
"pricey","expensive"
"pricy","expensive"
"virtuoso","expert"
"technologist","expert"
"specialized","expert"
"highly skilled","expert"
"whiz","expert"
"professionalism","Expertise"
"know-how","Expertise"
"know how","Expertise"
"mastership","Expertise"
"knowhow","Expertise"
"interpreting","Explaining"
"poorexploitation","Exploitation"
"eksploracja","Exploration"
"pathfinder","Explorer"
"blow out","explosion"
"blowout","explosion"
"airburst","explosion"
"grenade","Explosive"
"blaster","Explosive"
"expre","expression"
"idiom","expression"
"ausdruck","expression"
"xpression","expression"
"puckerdissatisfied","expression"
"scowls","expression"
"espression","expression"
"expresiva","expressive"
"parshvakonasana","Extended Side Angle Pose"
"parshvottanasana","Extended Side Angle Pose"
"extender","extension"
"putout","extract"
"phenomenal","extraordinary"
"lavish","extravagant"
"radical","extreme"
"fanatical","extreme"
"drastic","extreme"
"deepest","extreme"
"very happy","Extremely happy"
"auge","Eye"
"peeper","Eye"
"optometric","eye care"
"lasik","Eye Surgery"
"collyrium","Eye Wash"
"augenbraue","Eyebrow"
"wimpern","eyelashes"
"augen","eyes"
"olhos","eyes"
"ojos","eyes"
"muslin","fabric"
"textil","fabric"
"tuch","fabric"
"voile","fabric"
"stoff","fabric"
"ajrak","fabric"
"pretence","Facade"
"fassade","Facade"
"hautcreme","Face Cream"
"his face","Facial Expression"
"countenance","Facial Expression"
"gymface","Facial Expression"
"emotionsfaces","facial expressions"
"physiognomy","facial features"
"beards and moustaches","Facial Hair"
"mutton chops","Facial Hair"
"beautymask","facial treatment"
"amenity","facility"
"hospitalclinic","facility"
"sportcenter","facility"
"fabrique","Factory"
"washed out","faded"
"washed-out","faded"
"fiasco","fail"
"default","Failure"
"failu","Failure"
"dult","fair"
"feria","fair"
"equitable","fair"
"impartial","fair"
"fayre","fair"
"kermis","fair"
"pixie","Fairy"
"sylph","Fairy"
"glaube","faith"
"fide","faith"
"counterfeit","fake"
"fictitious","fake"
"spurious","fake"
"illusionary","fake"
"illusory","fake"
"herbstblatt","fall leaf"
"herbstlaub","fall leaves"
"plunged","fallen"
"falldown","Falling"
"limelight","Fame"
"beruhmtheit","Fame"
"beruehmtheit","Fame"
"notoriety","Fame"
"loved ones","Family"
"beruhmt","famous"
"beruehmt","famous"
"beruhmte","famous"
"beruhmter","famous"
"beruhmtes","famous"
"beruehmte","famous"
"beruehmter","famous"
"beruehmtes","famous"
"reputed","famous"
"pakha","fan"
"aficionado","fan"
"fantastical","fantastic"
"delusion","Fantasy"
"phantasy","Fantasy"
"chau","farewell"
"grange","Farm"
"sodbuster","Farmer"
"boer","Farmer"
"ranchero","Farmer"
"hicker","Farmer"
"bauerinnen","farmers"
"farmstand","farmers market"
"tillage","farming"
"stockbreeding","farming"
"style 360","Fashion"
"wearstyle","Fashion"
"lolita style","Fashion"
"fallal","Fashion"
"vivienne tam","Fashion Designer"
"trendiness","Fashionable"
"puasa","fasting"
"adipose","fat"
